"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"7517",11147612,"JA508900","11/12/2017 10:00:00 AM","055XX S ST LOUIS AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",822,8,14,63,"07",1153986,1867709,2017,"02/10/2018 03:50:01 PM",41.792821055,-87.71089037,"(41.792821055, -87.71089037)"
"7518",11147635,"JA509677","11/13/2017 06:05:00 AM","055XX W POTOMAC AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2532,25,37,25,"07",1139095,1908109,2017,"02/10/2018 03:50:01 PM",41.903967424,-87.764513537,"(41.903967424, -87.764513537)"
"7519",11147657,"JA509690","11/13/2017 05:30:00 AM","030XX W 57TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",824,8,14,63,"07",1156931,1866680,2017,"02/10/2018 03:50:01 PM",41.789938314,-87.700119112,"(41.789938314, -87.700119112)"
"7520",11147658,"JA509693","11/13/2017 03:00:00 AM","065XX S CLAREMONT AVE","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","STREET","false","false",832,8,15,66,"07",1161870,1861150,2017,"02/10/2018 03:50:01 PM",41.774661998,-87.682162667,"(41.774661998, -87.682162667)"
"7521",11147701,"JA509343","11/12/2017 05:30:00 PM","022XX W DIVERSEY PKWY","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","STREET","false","false",1432,14,1,22,"07",1161089,1918562,2017,"02/10/2018 03:50:01 PM",41.932222582,-87.683432779,"(41.932222582, -87.683432779)"
"7522",11147709,"JA509685","11/12/2017 10:00:00 PM","018XX S ST LOUIS AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1021,10,24,29,"07",1153327,1890813,2017,"02/10/2018 03:50:01 PM",41.856234532,-87.712694869,"(41.856234532, -87.712694869)"
"7523",11147710,"JA509727","11/12/2017 06:00:00 PM","054XX W HENDERSON ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1633,16,38,15,"07",1139532,1921741,2017,"02/10/2018 03:50:01 PM",41.941367156,-87.762575016,"(41.941367156, -87.762575016)"
"7524",11147713,"JA509735","11/11/2017 01:00:00 PM","050XX W OAKDALE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2521,25,31,19,"07",1142222,1919144,2017,"02/10/2018 03:50:01 PM",41.934191161,-87.752752715,"(41.934191161, -87.752752715)"
"7525",11147727,"JA509831","11/13/2017 09:00:00 AM","053XX S SPAULDING AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",822,8,14,63,"07",1155286,1869049,2017,"02/10/2018 03:50:01 PM",41.796472277,-87.706087531,"(41.796472277, -87.706087531)"
"7526",11147731,"JA509843","11/13/2017 05:00:00 AM","061XX S FRANCISCO AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",823,8,15,66,"07",1158097,1863880,2017,"02/10/2018 03:50:01 PM",41.782231075,-87.695919804,"(41.782231075, -87.695919804)"
"7527",11147749,"JA509696","11/13/2017 01:00:00 AM","045XX S LAKE PARK AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","true","false",222,2,4,39,"07",1185439,1874991,2017,"02/10/2018 03:50:01 PM",41.812120602,-87.595327552,"(41.812120602, -87.595327552)"
"7528",11147752,"JA509821","11/13/2017 05:30:00 AM","026XX W 60TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",824,8,16,66,"07",1159896,1864776,2017,"02/10/2018 03:50:01 PM",41.784653038,-87.689299529,"(41.784653038, -87.689299529)"
"7529",11147881,"JA509885","10/25/2017 03:00:00 PM","013XX N CICERO AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","OTHER","false","false",2533,25,37,25,"07",1144130,1908300,2017,"02/10/2018 03:50:01 PM",41.904398444,-87.746013692,"(41.904398444, -87.746013692)"
"7530",11147901,"JA509991","11/10/2017 11:00:00 AM","078XX S KEELER AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","DRIVEWAY - RESIDENTIAL","false","false",834,8,13,70,"07",1149876,1852481,2017,"02/10/2018 03:50:01 PM",41.751113607,-87.726355514,"(41.751113607, -87.726355514)"
"7531",11147917,"JA510095","11/13/2017 11:00:00 AM","053XX S ARCHER AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT/GARAGE(NON.RESID.)","true","false",815,8,23,56,"07",1145736,1869885,2017,"02/10/2018 03:50:01 PM",41.798952276,-87.741087573,"(41.798952276, -87.741087573)"
"7532",11147986,"JA510104","11/12/2017 10:00:00 PM","074XX W BELMONT AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2511,25,36,17,"07",1125753,1920416,2017,"02/10/2018 03:50:01 PM",41.937971778,-87.813248878,"(41.937971778, -87.813248878)"
"7533",11148022,"JA509878","10/27/2017 03:30:00 PM","021XX N HAMLIN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","RESIDENCE","false","false",2525,25,26,22,"07",1150698,1913913,2017,"02/10/2018 03:50:01 PM",41.919675111,-87.721740405,"(41.919675111, -87.721740405)"
"7534",11148103,"JA510305","11/02/2017 11:00:00 AM","010XX N CLARK ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1824,18,42,8,"07",1175352,1907251,2017,"02/10/2018 03:50:01 PM",41.900876082,-87.631358747,"(41.900876082, -87.631358747)"
"7535",11148125,"JA510338","11/13/2017 09:45:00 AM","072XX S ARTESIAN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",832,8,18,66,"07",1161296,1856568,2017,"02/10/2018 03:50:01 PM",41.762100242,-87.684393603,"(41.762100242, -87.684393603)"
"7536",11148149,"JA510181","11/13/2017 08:00:00 AM","057XX W GRAND AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2515,25,29,19,"07",1137863,1913698,2017,"02/10/2018 03:50:01 PM",41.919326623,-87.768903949,"(41.919326623, -87.768903949)"
"7537",11148166,"JA509676","11/13/2017 05:47:00 AM","087XX S MANISTEE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",423,4,7,46,"07",1196150,1847535,2017,"02/10/2018 03:50:01 PM",41.736520455,-87.556949782,"(41.736520455, -87.556949782)"
"7538",11148223,"JA510492","11/13/2017 03:30:00 PM","012XX N HALSTED ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false",1822,18,32,8,"07",1170779,1908521,2017,"02/10/2018 03:50:01 PM",41.904462488,-87.648118305,"(41.904462488, -87.648118305)"
"7539",11148410,"JA510576","11/13/2017 02:30:00 PM","015XX E 52ND ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",234,2,4,41,"07",1187321,1870961,2017,"02/10/2018 03:50:01 PM",41.801017447,-87.588552615,"(41.801017447, -87.588552615)"
"7540",11148411,"JA510450","11/13/2017 12:00:00 PM","043XX S WOOD ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",924,9,12,61,"07",1165073,1875977,2017,"02/10/2018 03:50:01 PM",41.81528195,-87.670001531,"(41.81528195, -87.670001531)"
"7541",11148414,"JA510602","11/13/2017 05:45:00 PM","037XX W ROOSEVELT RD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false",1011,10,24,29,"07",1151592,1894452,2017,"02/10/2018 03:50:01 PM",41.86625461,-87.718967674,"(41.86625461, -87.718967674)"
"7542",11148416,"JA510522","11/13/2017 11:00:00 AM","008XX S WELLS ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT/GARAGE(NON.RESID.)","false","false",123,1,2,32,"07",1174838,1896647,2017,"02/10/2018 03:50:01 PM",41.87178962,-87.633564301,"(41.87178962, -87.633564301)"
"7543",11148419,"JA510557","11/12/2017 10:00:00 PM","038XX W CERMAK RD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1013,10,22,30,"07",1150916,1889103,2017,"02/10/2018 03:50:01 PM",41.851589565,-87.72158926,"(41.851589565, -87.72158926)"
"7544",11148420,"JA510526","11/13/2017 04:00:00 PM","026XX S TROY ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1033,10,12,30,"07",1155788,1886211,2017,"02/10/2018 03:50:01 PM",41.843556949,-87.703785524,"(41.843556949, -87.703785524)"
"7545",11148430,"JA510717","11/13/2017 04:00:00 PM","071XX S LOWE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",732,7,6,68,"07",1173380,1857584,2017,"02/10/2018 03:50:01 PM",41.764629573,-87.640074242,"(41.764629573, -87.640074242)"
"7546",11148478,"JA510845","11/12/2017 01:00:00 PM","005XX N HERMITAGE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1215,12,26,24,"07",1164735,1903695,2017,"02/10/2018 03:50:01 PM",41.891349924,-87.670456473,"(41.891349924, -87.670456473)"
"7547",11148495,"JA510769","11/13/2017 07:30:00 PM","006XX N CLARK ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1832,18,42,8,"07",1175432,1904270,2017,"02/10/2018 03:50:01 PM",41.892694268,-87.631154519,"(41.892694268, -87.631154519)"
"7548",11148496,"JA510855","11/13/2017 08:30:00 PM","013XX W JACKSON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1231,12,2,28,"07",1167490,1898755,2017,"02/10/2018 03:50:01 PM",41.877735349,-87.660480953,"(41.877735349, -87.660480953)"
