"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-18",,,,"0.21","0.0","0.0",,"62","46",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-19",,,,"0.00","0.0","0.0",,"69","43",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-20",,,,"0.00","0.0","0.0",,"75","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-21",,,,"0.00","0.0","0.0",,"85","60",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-22",,,,"0.14","0.0","0.0",,"75","56",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-23",,,,"0.89","0.0","0.0",,"79","52",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-24",,,,"0.85","0.0","0.0",,"73","53",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-25",,,,"0.00","0.0","0.0",,"84","50",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-26",,,,"0.00","0.0","0.0",,"82","56",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-27",,,,"0.09","0.0","0.0",,"74","50",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-28",,,,"0.00","0.0","0.0",,"76","46",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-29",,,,"0.00","0.0","0.0",,"78","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-30",,,,"0.35","0.0","0.0",,"87","59",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-05-31",,,,"0.06","0.0","0.0",,"77","56",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-01",,,,"0.00","0.0","0.0",,"79","52",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-02",,,,"0.00","0.0","0.0",,"91","63",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-03",,,,"0.00","0.0","0.0",,"92","61",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-04",,,,"0.89","0.0","0.0",,"86","62",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-05",,,,"0.00","0.0","0.0",,"84","58",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-06",,,,"0.00","0.0","0.0",,"85","63",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-07",,,,"0.00","0.0","0.0",,"89","67",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-08",,,,"0.00","0.0","0.0",,"90","69",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-09",,,,"0.00","0.0","0.0",,"95","62",,,,,,
